metryczka.plec,metryczka.wiek,metryczka.miejsce,metryczka.wyksztalcenie,metryczka.nauka,metryczka.praca,metryczka.osoby,metryczka.dzieci,metryczka.zakupy,metryczka.przygotowanie,metryczka.sytuacja,metryczka.wiedza,metryczka.dieta,fcq.dieta_kalorie,fcq.cena_wartosc,fcq.eko_opakowana,fcq.eko_produkowana,fcq.dieta_tluszcz,fcq.pol_pochodzenie,fcq.eko_bezgmo,fcq.dieta_wit-i-min,fcq.dieta_bezdodatkow,fcq.dieta_odzywcza,fcq.dieta_bialko,fcq.dieta_naturalna,fcq.hed_zdziecinstwa,fcq.hed_odprezajaca,fcq.hed_wygodna,frl.nowe_zawartosc,frl.dieta_odzywcza,frl.cena_info,frl.nowe_etykiety,frl.dieta_naturalna,frl.dieta_bezdodatkow,frl.dieta_wartosc,fns.nowe_ufnosc,fns.nowe_przyjecia,cet.pol_bezrobocie,cet.pol_niedostepne,cet.pol_nieprodukowane,mgr.nowe_marki,mgr.hed_przepis,mgr.hed_przyjemnosc,mgr.hed_niesmaczna,mgr.pol_swieza,mgr.pol_tania,mgr.pol_smaczna,mgr.nowe_sklad,mgr.hed_wrazenie,mgr.hed_zakupy,mgr.hed_szybko,ziemniak.cena,ziemniak.miejsce,ziemniak.swiezosc,ziemniak.rodzaj,ziemniak.kraj,ziemniak.barwa,ziemniak.wyglad,ziemniak.spozycie,ziemniak.okres,ziemniak.sklep,ziemniak.opakowanie,ziemniak.obrobka,ziemniak.potrawy,ziemniak.zdrowotnosc,ziemniak.smak,ziemniak.jakosc,ziemniak.produkty,pomidor.cena,pomidor.miejsce,pomidor.swiezosc,pomidor.rodzaj,pomidor.kraj,pomidor.barwa,pomidor.slodkosc,pomidor.miekkosc,pomidor.spozycie,pomidor.okres,pomidor.sklep,pomidor.obrobka,pomidor.potrawy,pomidor.zdrowotnosc,pomidor.smak,pomidor.jakosc,pomidor.produkty,jablko.cena,jablko.miejsce,jablko.swiezosc,jablko.rodzaj,jablko.kraj,jablko.barwa,jablko.miekkosc,jablko.slodkosc,jablko.spozycie,jablko.okres,jablko.sklep,jablko.obrobka,jablko.potrawy,jablko.zdrowotnosc,jablko.smak,jablko.jakosc,jablko.produkty,pomarancza.cena,pomarancza.miejsce,pomarancza.swiezosc,pomarancza.rodzaj,pomarancza.kraj,pomarancza.barwa,pomarancza.miekkosc,pomarancza.slodkosc,pomarancza.spozycie,pomarancza.okres,pomarancza.sklep,pomarancza.obrobka,pomarancza.potrawy,pomarancza.zdrowotnosc,pomarancza.smak,pomarancza.jakosc,pomarancza.produkty,makaron.cena,makaron.miejsce,makaron.swiezosc,makaron.rodzaj,makaron.kraj,makaron.barwa,makaron.marka,makaron.spozycie,makaron.okres,makaron.sklep,makaron.obrobka,makaron.potrawy,makaron.zdrowotnosc,makaron.smak,makaron.jakosc,platki.cena,platki.miejsce,platki.swiezosc,platki.rodzaj,platki.kraj,platki.blonnik,platki.marka,platki.sklep,platki.spozycie,platki.obrobka,platki.potrawy,platki.zdrowotnosc,platki.smak,platki.jakosc,pieczywo.cena,pieczywo.miejsce,pieczywo.swiezosc,pieczywo.rodzaj,pieczywo.kraj,pieczywo.barwa,pieczywo.ziarna,pieczywo.blonnik,pieczywo.sklep,pieczywo.spozycie,pieczywo.opakowanie,pieczywo.obrobka,pieczywo.potrawy,pieczywo.zdrowotnosc,pieczywo.smak,pieczywo.jakosc
1,22,0,0.5,1,0,3,0,0.5,1,1,1,1,0.5,1,1,0.5,0,1,1,1,0.5,1,0.5,1,0.5,0.5,0.5,1,1,0.5,1,1,0.5,1,0.5,1,0.5,1,1,1,0.5,0.5,1,0.5,0.5,1,0.5,0,1,0.5,0.5,0.75,1,0.75,1,0.75,0.75,0.111111111111111,0,0.25,0,0,1,1,1,1,0.25,0.5,0.5,1,0.5,0.75,1,0.25,1,0.0784313725490196,0,0.25,0,0.5,1,1,1,0.333333333333333,0.5,0.75,1,1,1,1,1,0.75,0.133333333333333,0,0.25,0,1,1,1,1,0.5,0.5,0.75,1,1,0.75,0.75,1,0.25,0.0833333333333333,0,0.5,0,0,1,1,1,0.5,0.5,0.5,0,0.5,0.75,0.5,0.75,0.0340802987861811,0,0.5,0,0.5,0,1,1,0.5,0.25,0.25,1,1,1,0.75,0.5,0.0101851851851852,0,1,0.5,0.5,0,0.5,1,1,1,1,0.75,1,1,0.25,0.2,0,0,0.5,0,1,1
0,19,1,0.5,1,0,4,2,0.5,0.5,NA,1,0,0.5,1,1,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.75,0.5,0.25,0.25,0.5,0.0277777777777778,0,0.25,0,0,0,1,1,1,0,0.5,0.5,0.75,0.5,0.5,0.75,0.5,0.75,0.0130718954248366,0,0.25,0,1,1,1,1,0.666666666666667,0.5,0.5,0.75,0.75,0.5,0.75,0.5,0.5,0.133333333333333,0,0.25,0,1,1,1,1,0.5,0.75,0.5,0.75,0.5,0.5,0.75,0.5,0.5,0.133333333333333,0,1,0.5,0.5,1,1,1,0.5,0.5,0.25,0.5,0.75,0.5,0.75,0.75,0.0346638655462185,0,1,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.0194444444444444,0,0,1,1,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.0548571428571429,0,0,0.5,0.5,1,1
1,20,0.00771282828772078,0.5,1,0,5,3,1,0.5,1,1,0,0.5,1,1,0.5,0.5,0.5,1,1,1,1,0.5,1,0,0.5,0,1,1,0,1,0.5,1,0.5,0,1,0.5,0.5,0,1,0,1,0,0.5,0.5,0.5,1,0,1,0,0.25,0.75,1,0.25,1,0.75,0.5,0.111111111111111,0,0.25,0.333333333333333,0,1,1,1,1,0.25,0.75,1,1,0.75,1,1,0.25,0.75,0.0261437908496732,0,0.25,0,1,1,1,1,0.5,0,1,1,0.5,1,0,0.25,0.25,0.0533333333333333,0,0.25,0,1,1,1,1,0,0.75,1,1,0.25,0.5,0.5,0.5,0,0.133333333333333,0,1,0.5,0,1,1,1,0.5,0.25,0.25,1,0.5,0,1,1,0.0470588235294118,0,0.75,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0.5,1,0.25,1,1,1,1,1,1,1,0.25,0.048,1,0,0,0,1,1
1,24,1,0.75,1,0.5,5,3,0.5,0.5,1,1,0,0.5,0.5,1,1,0.5,1,1,1,1,0.5,0.5,0.5,0,0.5,0.5,1,1,0,1,1,1,0.5,0.5,1,0,0,0,1,0,1,1,0.5,1,1,0.5,0,1,0.5,0.5,0.75,0.75,0.75,1,1,0.25,0.222222222222222,1,0.25,0,0,1,0.5,1,1,0,0.5,0.75,1,0.5,0.75,0.75,0.75,0.75,0.0588235294117647,1,0.25,0,1,1,1,1,0.5,1,1,1,1,1,0.5,1,0.75,0.133333333333333,0,0.25,0,0,0.5,1,1,0.25,0.5,0.5,0.5,0.25,1,0.75,1,0,0.133333333333333,0,0.75,1,0,1,1,0.5,0.5,1,0,0.5,0.75,0,0.75,0,0.123249299719888,0,0.75,0,1,0,1,1,0.75,0,0,0.75,0,0,0.75,0.75,0.166666666666667,0,0,0,1,0.5,1,1,1,1,0.75,0.75,0.5,0.5,0.25,0.096,0,0,0.5,0,1,1
1,27,1,1,0,1,1,0,1,1,1,1,1,0.5,1,0.5,0,1,0,0.5,1,0.5,1,0.5,0.5,0,0,0.5,1,1,0.5,1,0.5,0.5,0.5,0,1,0.5,0,0,1,0.5,0.5,1,0,0,0,0.5,0.5,1,1,0.5,0.5,1,0.25,0.75,0.75,0.75,0.0444444444444444,0,1,0.666666666666667,0,1,1,1,1,0.5,0.25,0.25,1,0.5,0.5,0.75,0.25,0.75,0.166666666666667,0,1,0,1,1,1,1,0.5,0.5,0.25,1,0.5,0.25,0.75,0.75,0.25,0.0533333333333333,0,1,0.5,0.5,1,1,1,0.5,0.5,0.25,1,1,0.25,0.75,1,0.25,0.0111111111111111,0,1,0,0,1,1,1,0.5,0.25,0.25,0.25,0.75,0.5,0.75,1,0.128851540616246,0,1,0,1,1,1,1,0.75,0.25,0.75,0.75,0.25,0.5,0.75,1,0.111111111111111,0,0,1,1,1,0.25,0.75,1,1,1,1,1,0.75,0.25,0.04,1,0.5,0.5,0.5,1,1
1,24,1,0.75,1,0.5,4,0,0,0,1,1,0,0,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,1,1,0.5,0.5,0.5,0.5,0.5,0,0.5,1,0.5,0.5,0.5,0.5,0,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.75,0.25,0.5,0.25,0.25,0.166666666666667,0,0.75,0,0,1,0.5,1,1,0.5,0.75,0.25,1,0.75,0.75,0.5,0.5,0.75,0.117647058823529,0,0.75,0,1,1,1,1,0.5,0.75,0.25,0.75,0.75,0.75,0.75,0.75,0,0.0133333333333333,1,0.75,0,0.5,1,1,1,0,0.75,0.25,0.75,0.5,0.75,0.75,0.75,0,0.0111111111111111,0,0.75,1,0,1,0,0,0.5,0.5,0.25,0.25,0.75,0.75,0.75,0.75,0.235294117647059,0,0.25,0,1,0.5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.75,0.5,1,1,1,1,0.5,1,0.25,0.211428571428571,0,1,0,1,1,1
1,24,0,0.5,0,0,5,1,1,1,1,0.5,0,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.5,0.75,0.333333333333333,0,0.25,0.333333333333333,0,0,0,0.5,1,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333333333333,0,0.25,0,1,1,1,1,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.25,0.4,0,0.25,0,0,1,1,1,0.25,0.75,0.5,0.5,0.75,0.5,0.75,0.75,0.25,0.0111111111111111,1,0.25,0,0,1,0.5,0.5,0.5,0.5,0.25,0.25,0.5,0.25,0.25,0.5,0.053781512605042,0,0.75,0,1,1,1,1,0.75,0.25,0.25,0.5,0.25,0.5,0.5,0.75,0.166666666666667,0,0,0.5,1,1,0.75,0.75,0.75,0.75,0.5,0.75,0.75,0.5,0.5,0.123809523809524,0,1,0,0,1,1
0,23,1,0.75,1,0.5,4,0,1,1,NA,1,1,0,1,0.5,0,0.5,0,0,0.5,0,1,0.5,1,0.5,1,0.5,0.5,0,0,1,0.5,0.5,0,0,1,0,0,0,0.5,0,1,1,0,0,0.5,0,0,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,1,1,0,1,0.5,0.5,0.75,1,1,0.25,1,0.25,1,0.0261437908496732,0,0.25,0,1,1,0,0,0.5,0,1,1,1,0.25,1,1,0.5,0.24,0,0.25,0,1,1,1,1,0,0,0.75,1,0.5,0.75,1,1,0.75,0.6,0,1,0,1,1,0.5,0,0.5,0,0.25,1,1,0.25,1,0.75,0.0327731092436975,0,1,0,1,0,1,0.5,0.5,0.25,1,1,0,0.75,1,1,0.0166666666666667,0,0,0,1,1,0,0.75,1,1,1,1,1,0.5,0.25,0.08,0,0,0,0.5,0,0.5
1,50,1,0.75,0,0.5,2,0,1,1,1,0.5,0,0.5,1,1,0.5,0.5,0.5,1,0.5,1,1,0.5,1,1,1,0.5,1,0.5,0.5,0.5,1,1,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,1,0,0.5,0.5,1,0,0.5,0.5,0.75,1,1,0.75,0.5,0.5,0.75,0.0277777777777778,0,0.25,0.333333333333333,0.5,1,0.5,1,1,0,1,1,1,1,0.75,1,0.25,1,0.25,0,0.25,0,1,1,1,1,0,0.75,1,1,1,0.75,0.75,1,0.5,0.4,0,0.25,0,1,0.5,1,1,0,0.75,1,1,0.75,1,1,1,0.25,0.133333333333333,1,0.25,0.5,0.5,1,0,0,0,1,0.75,0.5,1,1,0.75,1,0.123249299719888,0,1,0,1,0.5,0.5,1,0.75,0.75,0.75,0.75,0.75,0.75,0,0.25,0.833333333333333,0,0.5,1,1,1,1,1,1,1,1,1,1,0.5,0.25,0.0106666666666667,0,1,0.5,0.5,1,0.5
1,24,1,0.75,1,0,4,0,0.5,0.5,1,0.5,0,0.5,1,0.5,0,0.5,0.5,1,0.5,1,0.5,0.5,0.5,1,0.5,1,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,0,1,1,1,1,1,0.5,0.5,1,0.5,0.5,0.75,1,0.25,0.5,0.25,1,0.222222222222222,0,0.25,0,0,0.5,1,1,1,0,1,1,1,0.25,0.5,0.75,0.5,0.75,0.0261437908496732,1,0.25,0.5,0,1,1,1,0.333333333333333,0.75,1,1,0.5,0.75,0.75,0.5,0.75,0.133333333333333,1,0.25,0,0,0.5,1,1,0.25,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.75,0.25,0.25,0.5,0.131652661064426,0,1,0,1,0.5,1,1,0.5,0,0.5,0.5,0.5,0.25,0.5,1,0.111111111111111,0,0,1,1,1,0.5,1,1,0.5,0.5,0.5,0.25,0.25,0.5,0.2,0,0,0,0,0.5,1
