Pytanie;Minimum;Maksimum
Informacja na opakowaniu produktu jest dla mnie bardzo wa¿na,  muszê wiedzieæ, co ten produkt zawiera;Ca³kowicie siê nie zgadzam;Ca³kowicie siê zgadzam
Porównujê etykiety, ¿eby wybraæ produkty o najwy¿szej wartoœci od¿ywczej;Ca³kowicie siê nie zgadzam;Ca³kowicie siê zgadzam
Zawsze sprawdzam ceny nawet najdrobniejszych produktów;Ca³kowicie siê nie zgadzam;Ca³kowicie siê zgadzam
Porównujê informacje na etykietach produktów zanim zdecydujê, który produkt wybraæ;Ca³kowicie siê nie zgadzam;Ca³kowicie siê zgadzam
Wolê kupowaæ produkty naturalne, np, bez konserwantów;Ca³kowicie siê nie zgadzam;Ca³kowicie siê zgadzam
Staram siê unikaæ ¿ywnoœci zawieraj¹cej substancje dodatkowe;Ca³kowicie siê nie zgadzam;Ca³kowicie siê zgadzam
Wa¿niejsze jest wybieranie ¿ywnoœci ze wzglêdu na wartoœæ od¿ywcz¹ ni¿ jej smak;Ca³kowicie siê nie zgadzam;Ca³kowicie siê zgadzam
Nie ufam nowym produktom ¿ywnoœciowym;Ca³kowicie siê nie zgadzam;Ca³kowicie siê zgadzam
Na przyjêciach próbujê nowych potraw i produktów;Ca³kowicie siê nie zgadzam;Ca³kowicie siê zgadzam
Kupowanie zagranicznych produktów pozbawia Polaków miejsc pracy;Ca³kowicie siê nie zgadzam;Ca³kowicie siê zgadzam
Z zagranicy nale¿y sprowadzaæ jedynie te produkty, które nie s¹ dostêpne w Polsce;Ca³kowicie siê nie zgadzam;Ca³kowicie siê zgadzam
Z zagranicy nale¿y sprowadzaæ jedynie te produkty, których nie mo¿na wyprodukowaæ w Polsce;Ca³kowicie siê nie zgadzam;Ca³kowicie siê zgadzam
Mam szczególne zaufanie do niektórych marek, producentów i dostawców;Ca³kowicie siê nie zgadzam;Ca³kowicie siê zgadzam
Korzystam z podanego na opakowaniu sposobu przygotowania lub przepisu;Ca³kowicie siê nie zgadzam;Ca³kowicie siê zgadzam
Wa¿ne, by ¿ywnoœæ sprawia³a przyjemnoœæ;Ca³kowicie siê nie zgadzam;Ca³kowicie siê zgadzam
Jeœli produkt mi nie smakowa³, nie kupiê go nigdy wiêcej;Ca³kowicie siê nie zgadzam;Ca³kowicie siê zgadzam
Polska ¿ywnoœæ jest œwie¿sza ni¿ zagraniczna;Ca³kowicie siê nie zgadzam;Ca³kowicie siê zgadzam
Polska ¿ywnoœæ jest tañsza ni¿ zagraniczna;Ca³kowicie siê nie zgadzam;Ca³kowicie siê zgadzam
Polska ¿ywnoœæ jest smaczniejsza ni¿ zagraniczna;Ca³kowicie siê nie zgadzam;Ca³kowicie siê zgadzam
Nie kupujê produktów, których sk³adników nie znam;Ca³kowicie siê nie zgadzam;Ca³kowicie siê zgadzam
Lubiê kupowaæ takie produkty ¿ywnoœciowe, które zrobi¹ na innych wra¿enie;Ca³kowicie siê nie zgadzam;Ca³kowicie siê zgadzam
Kupowanie ró¿nych produktów ¿ywnoœciowych wywo³uje we mnie pozytywne uczucia i emocje;Ca³kowicie siê nie zgadzam;Ca³kowicie siê zgadzam
Staram siê, by zrobiæ zakupy tak szybko i skutecznie, jak to mo¿liwe;Ca³kowicie siê nie zgadzam;Ca³kowicie siê zgadzam
W jakim stopniu cena jest wa¿na dla Pana Pani przy ich wyborze ;Wcale;W najwy¿szym stopniu
W jakim stopniu miejsce zakupu jest wa¿ne dla Pana Pani przy ich wyborze ;Wcale;W najwy¿szym stopniu
W jakim stopniu œwie¿oœæ jest wa¿na dla Pana Pani przy ich wyborze ;Wcale;W najwy¿szym stopniu
W jakim stopniu odmiana ziemniaków jest wa¿na dla Pana Pani przy ich wyborze ;Wcale;W najwy¿szym stopniu
W jakim stopniu kraj pochodzenia jest wa¿ny dla Pana Pani przy ich wyborze ;Wcale;W najwy¿szym stopniu
W jakim stopniu kolor skórki jest wa¿ny dla Pana Pani przy ich wyborze ;Wcale;W najwy¿szym stopniu
W jakim stopniu brak oczek i kie³ków jest wa¿ny dla Pana Pani przy ich wyborze ;Wcale;W najwy¿szym stopniu
Spo¿ycie ziemniaków;Nigdy;2-3 razy dziennie
Sezonowoœæ/promocja przy zakupie;Niezale¿nie od ceny i sezonu;Zale¿nie od ceny i sezonu
Miejsce zakupu;Z ogródka/bezpoœrednio od rolnika;Hipermarket/supermarket
Wygoda opakowania;Z ziemi luzem;Myte w worku
Czy Pana Pani zdaniem ziemniaki s¹ trudne w obróbce ;Zdecydowanie nie;Zdecydowanie tak
Czy Pana Pani zdaniem ziemniaki nadaj¹ siê do przygotowania wielu potraw ;Zdecydowanie nie;Zdecydowanie tak
Czy Pana Pani zdaniem ziemniaki maj¹ korzystny wp³yw na zdrowie ;Zdecydowanie nie;Zdecydowanie tak
Czy Pana Pani zdaniem ziemniaki dostêpne na polskim rynku s¹ smaczne ;Zdecydowanie nie;Zdecydowanie tak
Czy Pana Pani zdaniem ziemniaki dostêpne na polskim rynku maj¹ dobr¹ jakoœæ ;Zdecydowanie nie;Zdecydowanie tak
Ró¿norodnoœæ preferowanych produktów;Ma³a;Du¿a
W jakim stopniu cena jest wa¿na dla Pana Pani przy ich wyborze;Wcale;W najwy¿szym stopniu
W jakim stopniu miejsce zakupu jest wa¿ne dla Pana Pani przy ich wyborze;Wcale;W najwy¿szym stopniu
W jakim stopniu œwie¿oœæ jest wa¿na dla Pana Pani przy ich wyborze;Wcale;W najwy¿szym stopniu
W jakim stopniu odmiana pomidorów jest wa¿na dla Pana Pani przy ich wyborze ;Wcale;W najwy¿szym stopniu
W jakim stopniu kraj pochodzenia jest wa¿ny dla Pana Pani przy ich wyborze;Wcale;W najwy¿szym stopniu
W jakim stopniu kolor skórki jest wa¿ny dla Pana Pani przy ich wyborze;Wcale;W najwy¿szym stopniu
Jakie pomidory Pan Pani wybiera ze wzglêdu na smak ;S³odkie;Kwaœne
W jakim stopniu miêkkoœæ pomidorów jest wa¿na dla Pana Pani przy ich wyborze ;Wcale;W najwy¿szym stopniu
Spo¿ycie pomidorów;Nigdy;2-3 razy dziennie
Sezonowoœæ/promocja przy zakupie;Niezale¿nie od ceny i sezonu;Zale¿nie od ceny i sezonu
Miejsce zakupu;Z ogródka/bezpoœrednio od rolnika;Hipermarket/supermarket
Czy Pana Pani zdaniem pomidory s¹ trudne w obróbce ;Zdecydowanie nie;Zdecydowanie tak
Czy Pana Pani zdaniem pomidory nadaj¹ siê do przygotowania wielu potraw ;Zdecydowanie nie;Zdecydowanie tak
Czy Pana Pani zdaniem pomidory maj¹ korzystny wp³yw na zdrowie ;Zdecydowanie nie;Zdecydowanie tak
Czy Pana Pani zdaniem pomidory dostêpne na polskim rynku s¹ smaczne ;Zdecydowanie nie;Zdecydowanie tak
Czy Pana Pani zdaniem pomidory dostêpne na polskim rynku maj¹ dobr¹ jakoœæ ;Zdecydowanie nie;Zdecydowanie tak
Ró¿norodnoœæ preferowanych produktów;Ma³a;Du¿a
W jakim stopniu cena jest wa¿na dla Pana Pani przy ich wyborze;Wcale;W najwy¿szym stopniu
W jakim stopniu miejsce zakupu jest wa¿ne dla Pana Pani przy ich wyborze;Wcale;W najwy¿szym stopniu
W jakim stopniu œwie¿oœæ jest wa¿na dla Pana Pani przy ich wyborze;Wcale;W najwy¿szym stopniu
W jakim stopniu odmiana jab³ek jest wa¿na dla Pana Pani przy ich wyborze ;Wcale;W najwy¿szym stopniu
W jakim stopniu kraj pochodzenia jest wa¿ny dla Pana Pani przy ich wyborze;Wcale;W najwy¿szym stopniu
W jakim stopniu kolor skórki jest wa¿ny dla Pana Pani przy ich wyborze;Wcale;W najwy¿szym stopniu
W jakim stopniu miêkkoœæ jab³ek jest wa¿na dla Pana Pani przy ich wyborze ;Wcale;W najwy¿szym stopniu
Jakie jab³ka Pan Pani wybiera ze wzglêdu na smak ;S³odkie;Kwaœne
Spo¿ycie jab³ek;Nigdy;2-3 razy dziennie
Sezonowoœæ/promocja przy zakupie;Niezale¿nie od ceny i sezonu;Zale¿nie od ceny i sezonu
Miejsce zakupu;Z ogródka/bezpoœrednio od rolnika;Hipermarket/supermarket
Czy Pana Pani zdaniem jab³ka s¹ trudne w obróbce ;Zdecydowanie nie;Zdecydowanie tak
Czy Pana Pani zdaniem jab³ka nadaj¹ siê do przygotowania wielu potraw ;Zdecydowanie nie;Zdecydowanie tak
Czy Pana Pani zdaniem jab³ka maj¹ korzystny wp³yw na zdrowie ;Zdecydowanie nie;Zdecydowanie tak
Czy Pana Pani zdaniem jab³ka dostêpne na polskim rynku s¹ smaczne ;Zdecydowanie nie;Zdecydowanie tak
Czy Pana Pani zdaniem jab³ka dostêpne na polskim rynku maj¹ dobr¹ jakoœæ ;Zdecydowanie nie;Zdecydowanie tak
Ró¿norodnoœæ preferowanych produktów;Ma³a;Du¿a
W jakim stopniu cena jest wa¿na dla Pana Pani przy ich wyborze;Wcale;W najwy¿szym stopniu
W jakim stopniu miejsce zakupu jest wa¿ne dla Pana Pani przy ich wyborze;Wcale;W najwy¿szym stopniu
W jakim stopniu œwie¿oœæ jest wa¿na dla Pana Pani przy ich wyborze;Wcale;W najwy¿szym stopniu
W jakim stopniu wielkoœæ pomarañczy jest wa¿ny dla Pana Pani przy ich wyborze ;Wcale;W najwy¿szym stopniu
W jakim stopniu kraj pochodzenia jest wa¿ny dla Pana Pani przy ich wyborze;Wcale;W najwy¿szym stopniu
W jakim stopniu kolor skórki jest wa¿ny dla Pana Pani przy ich wyborze;Wcale;W najwy¿szym stopniu
W jakim stopniu miêkkoœæ pomarañczy jest wa¿na dla Pana Pani przy ich wyborze ;Wcale;W najwy¿szym stopniu
Jakie pomarañcze Pan Pani wybiera ze wzglêdu na smak ;S³odkie;Kwaœne
Spo¿ycie pomarañczy;Nigdy;2-3 razy dziennie
Sezonowoœæ/promocja przy zakupie;Niezale¿nie od ceny i sezonu;Zale¿nie od ceny i sezonu
Miejsce zakupu;Z ogródka/bezpoœrednio od rolnika;Hipermarket/supermarket
Czy Pana Pani zdaniem pomarañcze s¹ trudne w obróbce ;Zdecydowanie nie;Zdecydowanie tak
Czy Pana Pani zdaniem pomarañcze nadaj¹ siê do przygotowania wielu potraw ;Zdecydowanie nie;Zdecydowanie tak
Czy Pana Pani zdaniem pomarañcze maj¹ korzystny wp³yw na zdrowie ;Zdecydowanie nie;Zdecydowanie tak
Czy Pana Pani zdaniem pomarañcze dostêpne na polskim rynku s¹ smaczne ;Zdecydowanie nie;Zdecydowanie tak
Czy Pana Pani zdaniem pomarañcze dostêpne na polskim rynku maj¹ dobr¹ jakoœæ ;Zdecydowanie nie;Zdecydowanie tak
Ró¿norodnoœæ preferowanych produktów;Ma³a;Du¿a
W jakim stopniu cena jest wa¿na dla Pana Pani przy ich wyborze;Wcale;W najwy¿szym stopniu
W jakim stopniu miejsce zakupu jest wa¿ne dla Pana Pani przy ich wyborze;Wcale;W najwy¿szym stopniu
W jakim stopniu œwie¿oœæ jest wa¿na dla Pana Pani przy ich wyborze;Wcale;W najwy¿szym stopniu
W jakim stopniu kszta³t makaronu jest wa¿ny dla Pana Pani przy ich wyborze ;Wcale;W najwy¿szym stopniu
W jakim stopniu kraj pochodzenia jest wa¿ny dla Pana Pani przy ich wyborze;Wcale;W najwy¿szym stopniu
W jakim stopniu kolor makaronu jest wa¿ny dla Pana Pani przy ich wyborze ;Wcale;W najwy¿szym stopniu
W jakim stopniu marka producenta jest wa¿na dla Pana Pani przy ich wyborze ;Wcale;W najwy¿szym stopniu
Spo¿ycie makaronu;Nigdy;2-3 razy dziennie
Sezonowoœæ/promocja przy zakupie;Niezale¿nie od ceny i sezonu;Zale¿nie od ceny i sezonu
Miejsce zakupu;Robiê samodzielnie;Hipermarket/supermarket
Czy Pana Pani zdaniem makaron jest trudny do samodzielnego przygotowania ;Zdecydowanie nie;Zdecydowanie tak
Czy Pana Pani zdaniem makarony nadaj¹ siê do przygotowania wielu potraw ;Zdecydowanie nie;Zdecydowanie tak
Czy Pana Pani zdaniem makarony maj¹ korzystny wp³yw na zdrowie ;Zdecydowanie nie;Zdecydowanie tak
Czy Pana Pani zdaniem makarony dostêpne na polskim rynku s¹ smaczne ;Zdecydowanie nie;Zdecydowanie tak
Czy Pana Pani zdaniem makarony dostêpne na polskim rynku maj¹ dobr¹ jakoœæ ;Zdecydowanie nie;Zdecydowanie tak
W jakim stopniu cena jest wa¿na dla Pana Pani przy ich wyborze;Wcale;W najwy¿szym stopniu
W jakim stopniu miejsce zakupu jest wa¿ne dla Pana Pani przy ich wyborze;Wcale;W najwy¿szym stopniu
W jakim stopniu œwie¿oœæ jest wa¿na dla Pana Pani przy ich wyborze;Wcale;W najwy¿szym stopniu
W jakim stopniu smak jest wa¿ny dla Pana Pani przy ich wyborze ;Wcale;W najwy¿szym stopniu
W jakim stopniu kraj pochodzenia jest wa¿ny dla Pana Pani przy ich wyborze;Wcale;W najwy¿szym stopniu
W jakim stopniu zawartoœæ b³onnika jest wa¿ny dla Pana Pani przy ich wyborze ;Wcale;W najwy¿szym stopniu
W jakim stopniu marka producenta jest wa¿na dla Pana Pani przy ich wyborze;Wcale;W najwy¿szym stopniu
W jakim miejscu Pan Pani kupuje je najczêœciej;Robiê samodzielnie;Hipermarket/supermarket
Spo¿ycie p³atków;Nigdy;2-3 razy dziennie
Czy Pana Pani zdaniem p³atki s¹ trudne do samodzielnego przygotowania ;Zdecydowanie nie;Zdecydowanie tak
Czy Pana Pani zdaniem p³atki nadaj¹ siê do przygotowania wielu potraw ;Zdecydowanie nie;Zdecydowanie tak
Czy Pana Pani zdaniem p³atki maj¹ korzystny wp³yw na zdrowie ;Zdecydowanie nie;Zdecydowanie tak
Czy Pana Pani zdaniem p³atki dostêpne na polskim rynku s¹ smaczne ;Zdecydowanie nie;Zdecydowanie tak
Czy Pana Pani zdaniem p³atki dostêpne na polskim rynku maj¹ dobr¹ jakoœæ ;Zdecydowanie nie;Zdecydowanie tak
W jakim stopniu cena jest wa¿na dla Pana Pani przy jego wyborze ;Wcale;W najwy¿szym stopniu
W jakim stopniu miejsce zakupu jest wa¿ne dla Pana Pani przy jego wyborze ;Wcale;W najwy¿szym stopniu
W jakim stopniu œwie¿oœæ jest wa¿na dla Pana Pani przy jego wyborze ;Wcale;W najwy¿szym stopniu
W jakim stopniu rodzaj pieczywa jest wa¿ny dla Pana Pani przy jego wyborze ;Wcale;W najwy¿szym stopniu
W jakim stopniu kraj pochodzenia jest wa¿ny dla Pana Pani przy jego wyborze ;Wcale;W najwy¿szym stopniu
W jakim stopniu kolor pieczywa jest wa¿ny dla Pana Pani przy jego wyborze ;Wcale;W najwy¿szym stopniu
W jakim stopniu zawartoœæ ziaren jest wa¿na dla Pana Pani przy jego wyborze ;Wcale;W najwy¿szym stopniu
W jakim stopniu zawartoœæ b³onnika jest wa¿na dla Pana Pani przy jego wyborze ;Wcale;W najwy¿szym stopniu
Miejsce zakupu;Robiê samodzielnie;Hipermarket/supermarket
Spo¿ycie pieczywa;Nigdy;2-3 razy dziennie
Wygoda opakowania;W ca³oœci bez opakowania;Krojony w opakowaniu
Czy Pana Pani zdaniem pieczywo jest trudne w samodzielnym przygotowaniu ;Zdecydowanie nie;Zdecydowanie tak
Czy Pana Pani zdaniem pieczywo nadaje siê do przygotowania wielu potraw ;Zdecydowanie nie;Zdecydowanie tak
Czy Pana Pani zdaniem pieczywo ma korzystny wp³yw na zdrowie ;Zdecydowanie nie;Zdecydowanie tak
Czy Pana Pani zdaniem pieczywo dostêpne na polskim rynku jest smaczne ;Zdecydowanie nie;Zdecydowanie tak
Czy Pana Pani zdaniem pieczywo dostêpne na polskim rynku ma dobr¹ jakoœæ ;Zdecydowanie nie;Zdecydowanie tak
